Sat_type,YMD,Start_time,End_time,id,Degree,Coeff,null
SVDNB_npp_d20220710_t1303596_e1305238_b55447_c20220710143214973299_oeac_ops.h5,20220710,t1303596,e1305238,b55447_c20220710143214973299,3,8.5498e-08; -0.00029991; 0.38943;,0
SVDNB_npp_d20220710_t1305250_e1306492_b55447_c20220710143211397323_oeac_ops.h5,20220710,t1305250,e1306492,b55447_c20220710143211397323,3,3.8537e-08; -0.0002666; 0.45256;,0
SVDNB_npp_d20220711_t1246294_e1247535_b55461_c20220711141309956143_oeac_ops.h5,20220711,t1246294,e1247535,b55461_c20220711141309956143,3,-8.4227e-08; -2.8739e-05; 0.39732;,0
SVDNB_npp_d20220709_t1324207_e1325448_b55433_c20220709145126882189_oeac_ops.h5,20220709,t1324207,e1325448,b55433_c20220709145126882189,3,7.3114e-08; -0.00031436; 0.44945;,0
SVDNB_npp_d20220710_t1122594_e1124236_b55446_c20220710125205062517_oeac_ops.h5,20220710,t1122594,e1124236,b55446_c20220710125205062517,3,4.7832e-08; -0.00024244; 0.37017;,0
SVDNB_npp_d20220710_t1303596_e1305238_b55447_c20220710143214973299_oeac_ops.h5,20220710,t1303596,e1305238,b55447_c20220710143214973299,3,8.5498e-08; -0.00029991; 0.38943;,0
SVDNB_npp_d20220710_t1305250_e1306492_b55447_c20220710143211397323_oeac_ops.h5,20220710,t1305250,e1306492,b55447_c20220710143211397323,3,3.8537e-08; -0.0002666; 0.45256;,0
SVDNB_npp_d20220712_t1226083_e1227325_b55475_c20220712135434753593_oeac_ops.h5,20220712,t1226083,e1227325,b55475_c20220712135434753593,3,-3.3446e-09; -0.00013749; 0.60802;,0
SVDNB_npp_d20220709_t1324207_e1325448_b55433_c20220709145126882189_oeac_ops.h5,20220709,t1324207,e1325448,b55433_c20220709145126882189,3,7.3114e-08; -0.00031436; 0.44945;,0
SVDNB_npp_d20220710_t1122594_e1124236_b55446_c20220710125205062517_oeac_ops.h5,20220710,t1122594,e1124236,b55446_c20220710125205062517,3,4.7832e-08; -0.00024244; 0.37017;,0
SVDNB_npp_d20220710_t1303596_e1305238_b55447_c20220710143214973299_oeac_ops.h5,20220710,t1303596,e1305238,b55447_c20220710143214973299,3,8.5498e-08; -0.00029991; 0.38943;,0
SVDNB_npp_d20220710_t1305250_e1306492_b55447_c20220710143211397323_oeac_ops.h5,20220710,t1305250,e1306492,b55447_c20220710143211397323,3,3.8537e-08; -0.0002666; 0.45256;,0
SVDNB_npp_d20220712_t1227337_e1228579_b55475_c20220712135434674748_oeac_ops.h5,20220712,t1227337,e1228579,b55475_c20220712135434674748,3,-2.5831e-05; 0.080483; -82.7272;,0
SVDNB_npp_d20220709_t1324207_e1325448_b55433_c20220709145126882189_oeac_ops.h5,20220709,t1324207,e1325448,b55433_c20220709145126882189,3,7.3114e-08; -0.00031436; 0.44945;,0
SVDNB_npp_d20220710_t1122594_e1124236_b55446_c20220710125205062517_oeac_ops.h5,20220710,t1122594,e1124236,b55446_c20220710125205062517,3,4.7832e-08; -0.00024244; 0.37017;,0
SVDNB_npp_d20220710_t1303596_e1305238_b55447_c20220710143214973299_oeac_ops.h5,20220710,t1303596,e1305238,b55447_c20220710143214973299,3,8.5498e-08; -0.00029991; 0.38943;,0
SVDNB_npp_d20220710_t1305250_e1306492_b55447_c20220710143211397323_oeac_ops.h5,20220710,t1305250,e1306492,b55447_c20220710143211397323,3,3.8537e-08; -0.0002666; 0.45256;,0
SVDNB_npp_d20220709_t1324207_e1325448_b55433_c20220709145126882189_oeac_ops.h5,20220709,t1324207,e1325448,b55433_c20220709145126882189,3,7.3114e-08; -0.00031436; 0.44945;,0
SVDNB_npp_d20220710_t1122594_e1124236_b55446_c20220710125205062517_oeac_ops.h5,20220710,t1122594,e1124236,b55446_c20220710125205062517,3,4.7832e-08; -0.00024244; 0.37017;,0
SVDNB_npp_d20220710_t1303596_e1305238_b55447_c20220710143214973299_oeac_ops.h5,20220710,t1303596,e1305238,b55447_c20220710143214973299,3,8.5498e-08; -0.00029991; 0.38943;,0
SVDNB_npp_d20220710_t1305250_e1306492_b55447_c20220710143211397323_oeac_ops.h5,20220710,t1305250,e1306492,b55447_c20220710143211397323,3,3.8537e-08; -0.0002666; 0.45256;,0
SVDNB_npp_d20220709_t1324207_e1325448_b55433_c20220709145126882189_oeac_ops.h5,20220709,t1324207,e1325448,b55433_c20220709145126882189,3,7.4112e-08; -0.00031611; 0.4503;,0
SVDNB_npp_d20220710_t1122594_e1124236_b55446_c20220710125205062517_oeac_ops.h5,20220710,t1122594,e1124236,b55446_c20220710125205062517,3,4.8737e-08; -0.00024214; 0.3685;,0
SVDNB_npp_d20220710_t1303596_e1305238_b55447_c20220710143214973299_oeac_ops.h5,20220710,t1303596,e1305238,b55447_c20220710143214973299,3,9.3774e-08; -0.00031215; 0.39419;,0
SVDNB_npp_d20220710_t1305250_e1306492_b55447_c20220710143211397323_oeac_ops.h5,20220710,t1305250,e1306492,b55447_c20220710143211397323,3,4.0497e-08; -0.00026105; 0.44024;,0
SVDNB_npp_d20220709_t1324207_e1325448_b55433_c20220709145126882189_oeac_ops.h5,20220709,t1324207,e1325448,b55433_c20220709145126882189,3,7.4112e-08; -0.00031611; 0.4503;,0
SVDNB_npp_d20220710_t1122594_e1124236_b55446_c20220710125205062517_oeac_ops.h5,20220710,t1122594,e1124236,b55446_c20220710125205062517,3,4.8737e-08; -0.00024214; 0.3685;,0
SVDNB_npp_d20220710_t1303596_e1305238_b55447_c20220710143214973299_oeac_ops.h5,20220710,t1303596,e1305238,b55447_c20220710143214973299,3,9.3774e-08; -0.00031215; 0.39419;,0
SVDNB_npp_d20220710_t1305250_e1306492_b55447_c20220710143211397323_oeac_ops.h5,20220710,t1305250,e1306492,b55447_c20220710143211397323,3,4.0497e-08; -0.00026105; 0.44024;,0
SVDNB_npp_d20220709_t1324207_e1325448_b55433_c20220709145126882189_oeac_ops.h5,20220709,t1324207,e1325448,b55433_c20220709145126882189,3,7.4112e-08; -0.00031611; 0.4503;,0
SVDNB_npp_d20220710_t1122594_e1124236_b55446_c20220710125205062517_oeac_ops.h5,20220710,t1122594,e1124236,b55446_c20220710125205062517,3,4.8737e-08; -0.00024214; 0.3685;,0
SVDNB_npp_d20220710_t1303596_e1305238_b55447_c20220710143214973299_oeac_ops.h5,20220710,t1303596,e1305238,b55447_c20220710143214973299,3,9.3774e-08; -0.00031215; 0.39419;,0
SVDNB_npp_d20220710_t1305250_e1306492_b55447_c20220710143211397323_oeac_ops.h5,20220710,t1305250,e1306492,b55447_c20220710143211397323,3,4.0497e-08; -0.00026105; 0.44024;,0
SVDNB_npp_d20220709_t1324207_e1325448_b55433_c20220709145126882189_oeac_ops.h5,20220709,t1324207,e1325448,b55433_c20220709145126882189,3,7.3114e-08; -0.00031436; 0.44945;,0
SVDNB_npp_d20220710_t1122594_e1124236_b55446_c20220710125205062517_oeac_ops.h5,20220710,t1122594,e1124236,b55446_c20220710125205062517,3,4.7832e-08; -0.00024244; 0.37017;,0
SVDNB_npp_d20220710_t1303596_e1305238_b55447_c20220710143214973299_oeac_ops.h5,20220710,t1303596,e1305238,b55447_c20220710143214973299,3,8.5498e-08; -0.00029991; 0.38943;,0
SVDNB_npp_d20220710_t1305250_e1306492_b55447_c20220710143211397323_oeac_ops.h5,20220710,t1305250,e1306492,b55447_c20220710143211397323,3,3.8537e-08; -0.0002666; 0.45256; ,0
